Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N4_p3_20250909_151718,465,,,,,,,,,,32,,,,,,,,,,1975,,,,,,,,,,465,32,1975,fail
N4_p3_20250909_151805,465,,,,,,,,,,32,,,,,,,,,,2055,,,,,,,,,,465,32,2055,fail
N4_p3_20250909_152019,465,,,,,,,,,,32,,,,,,,,,,2131,,,,,,,,,,465,32,2131,fail
N4_p3_20250909_152949,465,465,,,,,,,,,32,32,,,,,,,,,1631,7532,,,,,,,,,930,64,9163,ok
N4_p3_20250909_153219,465,465,,,,,,,,,32,32,,,,,,,,,1794,5602,,,,,,,,,930,64,7396,ok
N4_p3_20250909_153413,465,465,465,,,,,,,,32,32,32,,,,,,,,1942,8450,2106,,,,,,,,1395,96,12498,ok
N4_p3_20250909_153701,465,465,465,,,,,,,,32,32,32,,,,,,,,1809,12030,4828,,,,,,,,1395,96,18667,ok
N4_p3_20250909_153855,465,465,,,,,,,,,32,32,,,,,,,,,2349,10718,,,,,,,,,930,64,13067,fail
N4_p3_20250909_154045,465,465,,,,,,,,,32,32,,,,,,,,,1909,10735,,,,,,,,,930,64,12644,ok
N4_p3_20250909_154228,465,465,,,,,,,,,32,32,,,,,,,,,3197,8356,,,,,,,,,930,64,11553,ok
N4_p3_20250909_154348,465,465,,,,,,,,,32,32,,,,,,,,,2887,6742,,,,,,,,,930,64,9629,ok
N4_p3_20250909_154455,465,465,,,,,,,,,32,32,,,,,,,,,1877,5223,,,,,,,,,930,64,7100,ok
N4_p3_20250909_154544,465,465,,,,,,,,,32,32,,,,,,,,,2885,2747,,,,,,,,,930,64,5632,ok
N4_p3_20250909_154657,465,465,,,,,,,,,32,32,,,,,,,,,3041,5202,,,,,,,,,930,64,8243,ok
N5_p5_20250909_155045,467,,,,,,,,,,50,,,,,,,,,,2262,,,,,,,,,,467,50,2262,ok
N5_p5_20250909_155120,467,,,,,,,,,,50,,,,,,,,,,4303,,,,,,,,,,467,50,4303,ok
N5_p5_20250909_155156,467,,,,,,,,,,50,,,,,,,,,,3965,,,,,,,,,,467,50,3965,ok
N5_p5_20250909_155227,467,,,,,,,,,,50,,,,,,,,,,3503,,,,,,,,,,467,50,3503,ok
N5_p5_20250909_155303,467,,,,,,,,,,63,,,,,,,,,,4344,,,,,,,,,,467,63,4344,ok
N5_p5_20250909_155335,467,,,,,,,,,,50,,,,,,,,,,3889,,,,,,,,,,467,50,3889,ok
N5_p5_20250909_155358,467,,,,,,,,,,50,,,,,,,,,,2313,,,,,,,,,,467,50,2313,ok
N5_p5_20250909_155418,467,,,,,,,,,,50,,,,,,,,,,2275,,,,,,,,,,467,50,2275,ok
N5_p5_20250909_155453,467,,,,,,,,,,50,,,,,,,,,,4289,,,,,,,,,,467,50,4289,ok
N5_p5_20250909_155517,467,,,,,,,,,,50,,,,,,,,,,2199,,,,,,,,,,467,50,2199,ok
N5_p3_20250909_160019,467,467,,,,,,,,,32,32,,,,,,,,,2168,7032,,,,,,,,,934,64,9200,ok
N5_p3_20250909_160122,467,467,,,,,,,,,32,32,,,,,,,,,3151,4173,,,,,,,,,934,64,7324,ok
N5_p3_20250909_160543,467,467,467,467,467,,,,,,32,32,32,32,32,,,,,,2343,4530,1609,12405,7948,,,,,,2335,160,28835,ok
N5_p3_20250909_160639,467,467,,,,,,,,,32,32,,,,,,,,,2442,3823,,,,,,,,,934,64,6265,fail
N5_p3_20250909_160757,467,467,,,,,,,,,32,32,,,,,,,,,3201,5572,,,,,,,,,934,64,8773,ok
N5_p3_20250909_160908,467,467,,,,,,,,,32,32,,,,,,,,,3416,4886,,,,,,,,,934,64,8302,fail
N5_p3_20250909_161014,467,467,,,,,,,,,32,32,,,,,,,,,1617,5889,,,,,,,,,934,64,7506,ok
N5_p3_20250909_161234,467,467,467,467,,,,,,,32,32,32,32,,,,,,,1561,5818,1861,6700,,,,,,,1868,128,15940,ok
